city_fips,cbsa_fips,City,State,st_fips,pop_2010,Population,lon,lat,Name,id
5439460,26580,Huntington,West Virginia,54,49138,354304,-82.43438569,38.41090248,"Huntington, West Virginia",59
1250750,36100,Ocala,Florida,12,56315,396415,-82.15114643,29.17802476,"Ocala, Florida",60
3402080,12100,Atlantic City,New Jersey,34,39558,275638,-74.45268342,39.37968107,"Atlantic City, New Jersey",61
4513330,16700,Charleston,South Carolina,45,120083,830529,-79.96315069,32.81496986,"Charleston, South Carolina",62
2232755,25220,Hammond,Louisiana,22,20019,137048,-90.45627534,30.50611215,"Hammond, Louisiana",63
4845384,32580,McAllen,Texas,48,129877,888367,-98.24714667,26.22710356,"McAllen, Texas",64
4967000,41620,Salt Lake City,Utah,49,186440,1266191,-111.9300416,40.7774064,"Salt Lake City, Utah",65
952000,35300,New Haven,Connecticut,9,129779,869527,-72.92455091,41.31121469,"New Haven, Connecticut",66
908000,14860,Bridgeport,Connecticut,9,144229,962946,-73.19534681,41.19177158,"Bridgeport, Connecticut",67
956200,35980,Norwich,Connecticut,9,40493,268681,-72.08824983,41.54947392,"Norwich, Connecticut",68
4819000,19100,Dallas,Texas,48,1197816,7943685,-96.76637496,32.79338879,"Dallas, Texas",69
5363000,42660,Seattle,Washington,53,608660,4034248,-122.3243513,47.62097546,"Seattle, Washington",70
2302100,12300,Augusta,Maine,23,19136,125540,-69.73187666,44.33409824,"Augusta, Maine",71
5167000,40060,Richmond,Virginia,51,204214,1339182,-77.47555109,37.52944367,"Richmond, Virginia",72
4516000,17900,Columbia,South Carolina,45,129272,847686,-80.90370395,34.03762451,"Columbia, South Carolina",73
4739560,28700,Kingsport,Tennessee,47,48205,311272,-82.54519205,36.52240287,"Kingsport, Tennessee",74
5351300,36500,Olympia,Washington,53,46478,298758,-122.8958953,47.04170902,"Olympia, Washington",75
5405332,13220,Beckley,West Virginia,54,17614,112369,-81.1840429,37.78774451,"Beckley, West Virginia",76
4962470,39340,Provo,Utah,49,112488,715001,-111.6457412,40.24573849,"Provo, Utah",77
680588,46020,Truckee,California,6,16180,102293,-120.1848547,39.34546246,"Truckee, California",78
1331908,23580,Gainesville,Georgia,13,33804,212692,-83.83026472,34.29017719,"Gainesville, Georgia",79
4238288,27780,Johnstown,Pennsylvania,42,20978,131441,-78.91934963,40.32576028,"Johnstown, Pennsylvania",80
668154,42020,San Luis Obispo,California,6,45119,282013,-120.6689097,35.26704338,"San Luis Obispo, California",81
1522700,27980,Kahului,Hawaii,15,26337,164351,-156.4602808,20.87151663,"Kahului, Hawaii",82
2829700,25060,Gulfport,Mississippi,28,67793,420782,-89.07034898,30.42702586,"Gulfport, Mississippi",83
457380,39140,Prescott,Arizona,4,39843,246191,-112.4475308,34.58493386,"Prescott, Arizona",84
4534045,25940,Hilton Head Island,South Carolina,45,37099,228410,-80.74989953,32.18956695,"Hilton Head Island, South Carolina",85
1254000,37340,Palm Bay,Florida,12,103190,630693,-80.66275821,27.95492966,"Palm Bay, Florida",86
2622000,19820,Detroit,Michigan,26,713777,4345761,-83.10238117,42.38338887,"Detroit, Michigan",87
2236255,26380,Houma,Louisiana,22,33727,200656,-90.70578447,29.57992768,"Houma, Louisiana",88
4775320,46100,Tullahoma,Tennessee,47,18655,110412,-86.21727631,35.37207621,"Tullahoma, Tennessee",89
2634000,24340,Grand Rapids,Michigan,26,188040,1094198,-85.65568989,42.96148128,"Grand Rapids, Michigan",90
5485156,48260,Weirton,West Virginia,54,19746,114235,-80.56708667,40.4060413,"Weirton, West Virginia",91
3921000,19380,Dayton,Ohio,39,141527,812595,-84.1998479,39.77968857,"Dayton, Ohio",92
3702140,11700,Asheville,North Carolina,37,83393,476072,-82.55367015,35.57038545,"Asheville, North Carolina",93
667000,41860,San Francisco,California,6,805235,4579599,-122.4430541,37.75616239,"San Francisco, California",94
4242168,30140,Lebanon,Pennsylvania,42,25477,144011,-76.42279097,40.34119408,"Lebanon, Pennsylvania",95
3040075,28060,Kalispell,Montana,30,19927,111814,-114.3261328,48.21557208,"Kalispell, Montana",96
5186720,49020,Winchester,Virginia,51,26203,146455,-78.17461449,39.17350625,"Winchester, Virginia",97
2124274,21060,Elizabethtown,Kentucky,21,28531,157026,-85.87688993,37.70301469,"Elizabethtown, Kentucky",98
3912000,15940,Canton,Ohio,39,73007,399316,-81.36777455,40.80761551,"Canton, Ohio",99
3739700,31300,Lumberton,North Carolina,37,21542,116663,-79.01865294,34.63114421,"Lumberton, North Carolina",100
2582000,49340,Worcester,Massachusetts,25,181045,980137,-71.80794009,42.27051601,"Worcester, Massachusetts",101
4525810,22500,Florence,South Carolina,45,37056,199119,-79.78715153,34.17818045,"Florence, South Carolina",102
5010675,15540,Burlington,Vermont,50,42417,227521,-73.23138048,44.48767415,"Burlington, Vermont",103
5175216,44420,Staunton,Virginia,51,23746,126776,-79.06113889,38.15928764,"Staunton, Virginia",104
1210275,15980,Cape Coral,Florida,12,154305,822453,-81.99552907,26.64436072,"Cape Coral, Florida",105
4163650,40700,Roseburg,Oregon,41,21181,112297,-123.3517628,43.22321942,"Roseburg, Oregon",106
107000,13820,Birmingham,Alabama,1,212237,1116857,-86.79876142,33.52764673,"Birmingham, Alabama",107
3916000,17460,Cleveland,Ohio,39,396815,2063132,-81.68056192,41.47668452,"Cleveland, Ohio",108
1021200,20100,Dover,Delaware,10,36047,186946,-75.52024446,39.16103723,"Dover, Delaware",109
664000,40900,Sacramento,California,6,466488,2416702,-121.4682846,38.56660017,"Sacramento, California",110
3606607,13780,Binghamton,New York,36,47376,244889,-75.90926767,42.1013964,"Binghamton, New York",111
5114968,16820,Charlottesville,Virginia,51,43475,223825,-78.48551854,38.03748724,"Charlottesville, Virginia",112
2503690,12700,Barnstable Town,Massachusetts,25,45193,232457,-70.3599749,41.6721825,"Barnstable Town, Massachusetts",113
3663000,40380,Rochester,New York,36,210565,1081152,-77.61625401,43.16800649,"Rochester, New York",114
1711163,16060,Carbondale,Illinois,17,25902,132693,-89.2238108,37.72198874,"Carbondale, Illinois",115
976500,45860,Torrington,Connecticut,9,36383,186116,-73.12815487,41.83492524,"Torrington, Connecticut",116
4740000,28940,Knoxville,Tennessee,47,178874,907968,-83.94968635,35.96919944,"Knoxville, Tennessee",117
1254700,37460,Panama City,Florida,12,36484,185134,-85.60043797,30.19953268,"Panama City, Florida",118
4750280,34100,Morristown,Tennessee,47,29137,146172,-83.30052504,36.20464851,"Morristown, Tennessee",119
101852,11500,Anniston,Alabama,1,23106,115788,-85.81361846,33.67126876,"Anniston, Alabama",120
820000,19740,Denver,Colorado,8,600158,2985871,-104.8762494,39.76208631,"Denver, Colorado",121
5347245,34180,Moses Lake,Washington,53,20366,101311,-119.274065,47.12842122,"Moses Lake, Washington",122
623042,21700,Eureka,California,6,27191,135010,-124.1568355,40.79413526,"Eureka, California",123
3761200,43140,Shelby,North Carolina,37,20323,100670,-81.54510114,35.29038141,"Shelby, North Carolina",124
5414600,16620,Charleston,West Virginia,54,51400,251914,-81.63224749,38.3484284,"Charleston, West Virginia",125
